Country,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity,WindSpeed,Date,Station_ID,Status
China,HCM,32.11,385.06,178.33,2.73,11.05,69.67,90,19.3,80,9.53,6/24/2023,4023,Unhealthy
,Delhi,116.37,67.42,83.73,76.96,0.27,31.42,412,-3.4,58,12.89,3/19/2025,3739,Unhealthy
France,999,56.89,unknown,81.63,104.69,13.22,30.89,341,hot,96,10.08,1/22/2024,7086,Good
China,HCM,201.31,215.64,76.65,80.6,3.41,231.06,69,hot,77,19.6,11/29/2024,1426,Unhealthy
France,Beijing,high,59.3,114.34,42.21,3.35,109.46,192,hot,74,15.67,7/25/2025,6190,Good
Vietnam,Paris,high,366.02,63.97,8.48,3.76,182.61,141,15.1,83,3.14,2/20/2023,ID_err,Unhealthy
China,Paris,26.85,298.23,164.87,63.73,4.19,146.12,165,4.9,99,6.13,12/28/2023,4551,Moderate
123,Paris,265.42,211.9,56.99,146.99,2.14,55.26,invalid,-8.5,wet,fast,11/28/2024,6387,Good
USA,HCM,137.44,42.67,124.97,74.14,11.78,bad,368,30.8,62,17.93,11/22/2025,2294,Moderate
France,Delhi,48.29,18.59,37.15,125.24,14.55,55.27,112,27.6,75,18.24,4/16/2024,6804,Moderate
Vietnam,Beijing,high,105.18,141.81,40.55,7.67,198.99,42,22.9,wet,7.13,8/22/2025,4252,Moderate
France,Paris,170.83,315.74,33.12,69.21,7.61,191.44,71,22.1,71,12.29,3/15/2024,ID_err,Unhealthy
India,Paris,164.93,376.88,144.57,149.71,14.77,21.42,103,14.5,59,7.33,07-11-25,ID_err,Moderate
Vietnam,HCM,121.24,37.09,error,low,5.41,229.94,429,2.8,30,3.41,08-02-25,1146,Moderate
India,Beijing,105.88,unknown,error,148.67,1.32,bad,449,37.4,94,15.64,10/13/2025,7215,Unhealthy
Vietnam,Hanoi,95.29,unknown,196.18,low,14.57,bad,165,34.1,68,9.1,04-11-23,ID_err,Good
France,Delhi,99.32,238.58,error,62.98,0.45,175.1,133,26.7,10,17.71,11/27/2025,2206,Unhealthy
India,Hanoi,280.19,277.07,error,51.02,18.14,161.14,148,26.8,88,15.75,03-01-25,4936,Unhealthy
India,Paris,81.45,unknown,error,114.64,7.87,161.89,invalid,30.1,16,0.45,12/22/2025,7488,Unhealthy
India,Delhi,85.09,236.55,23.95,93.59,2.27,150.27,446,19.9,wet,2.96,5/27/2023,9096,Good
France,Paris,20.03,106.01,113.53,23.59,4.43,57.55,344,8.8,60,8.87,12-03-23,9123,Moderate
Vietnam,Beijing,154.57,88.43,error,107.53,9.94,16.94,111,-3.6,53,fast,04-06-23,8555,Moderate
Vietnam,Beijing,85.52,185.6,34.46,6.34,18.12,172.15,83,17.4,28,fast,07-11-25,8227,Unhealthy
Vietnam,Beijing,40.18,122.83,121.16,10.59,10.77,167.13,370,-2.3,85,16.26,04-01-25,7284,Unhealthy
Vietnam,Hanoi,160.74,310.52,199.52,20.95,17.49,34.25,383,-8.7,wet,11.52,3/30/2023,5095,Unhealthy
France,HCM,73.9,398.76,38.77,134.92,0.88,158.35,203,40,54,13.62,9/30/2025,ID_err,Unhealthy
123,HCM,79.74,unknown,122.02,13.43,10.3,bad,320,38.1,55,fast,01-06-24,7864,Moderate
France,Paris,18.44,348.48,59.11,low,0.69,67.67,159,2.6,71,fast,3/19/2025,8962,Good
India,Beijing,106.41,127.34,38.48,137.91,14.02,10.93,275,32.9,24,3.18,09-07-23,2254,Unhealthy
Vietnam,Beijing,111.5,189.95,error,80.86,17.45,131.82,107,6.4,58,3.59,11-01-24,7150,Unhealthy
France,HCM,174.69,274.99,89.55,83.41,17.18,193.17,133,hot,73,11,11/28/2025,4550,Moderate
India,Paris,high,138.81,120.48,low,16.57,68.75,47,-2.9,38,16.04,04-09-24,3518,123
France,Beijing,147.46,unknown,error,low,2.61,121.21,437,hot,wet,16.4,10/28/2025,ID_err,Good
China,Hanoi,91.02,354.76,46.62,38.96,4.58,64.45,269,10.1,5,11.27,04-01-24,7955,Unhealthy
India,Hanoi,288.71,132.3,45.94,64.08,9.6,123.03,157,9,84,fast,9/19/2024,2965,Good
China,Beijing,56.23,93.67,12.86,122.88,0.99,120.99,285,hot,98,0.29,5/27/2023,8483,Unhealthy
USA,Hanoi,259.66,105.33,76.37,89.14,9.79,60.65,471,27.5,79,14.88,04-12-23,3012,Moderate
Vietnam,Paris,101.02,381.13,136.18,63.78,5.63,226.86,222,22.8,64,18.04,2/24/2024,4206,Good
China,HCM,118.54,308.8,133.86,118.67,15.41,154.28,256,24.2,100,10.05,5/30/2024,3030,Unhealthy
France,Hanoi,287.82,343.32,25.22,41.46,8.29,46.66,95,10.6,2,fast,04-04-23,2095,Moderate
123,Paris,70.11,302.56,196.6,92.53,3.61,bad,276,20.3,97,14.9,11/25/2024,8771,Unhealthy
USA,Beijing,170.46,183.86,48.83,92.93,6.43,152.24,invalid,15.3,59,18.82,04-03-24,1758,Good
Vietnam,Paris,192,355.42,error,9.7,1.73,68.03,254,hot,wet,8.91,9/26/2023,2275,Good
France,Hanoi,233.63,270.23,83.3,116.76,13.94,218.53,456,17.8,wet,7.02,8/24/2024,2875,Moderate
China,Delhi,247.69,378.17,150.53,76.56,6.59,239.39,213,38.4,wet,17.11,2/13/2025,5885,Moderate
USA,Delhi,174.66,unknown,116.73,148.36,15.37,106.97,273,22.8,79,12.29,9/29/2025,6194,Moderate
Vietnam,HCM,14.38,162.91,161.3,32.56,2.08,91.68,447,18.7,wet,2.66,7/15/2023,1378,Good
China,HCM,220.83,unknown,error,30.34,10.12,158.11,493,17.3,70,19.59,08-09-25,4321,Moderate
France,Hanoi,120.49,unknown,83.24,43.3,9.04,223.42,303,25.8,19,5.7,3/17/2024,2569,Good
India,Delhi,255.49,76.34,31.85,132.4,19.49,214.62,invalid,34.6,0,4.33,02-02-25,6558,Unhealthy
Vietnam,Beijing,190.24,241.79,119.67,40,18.67,21.76,241,1.7,7,16.71,9/16/2025,8379,Moderate
USA,Delhi,205.69,37.67,21.31,119.7,3.92,215.75,401,hot,51,12.67,03-09-25,ID_err,Good
USA,Beijing,155.14,87.66,38.41,47.16,17.43,241.09,316,hot,wet,9.55,8/27/2023,7508,Unhealthy
Vietnam,HCM,250.09,160.76,error,135.54,14.32,143.86,276,43.4,37,18.02,06-01-24,ID_err,Good
USA,HCM,84.44,353.42,98.8,144.07,0.23,bad,38,-6.9,73,1.71,12-11-23,7587,123
USA,Hanoi,261.51,190.94,110.62,2.73,1.51,164.54,204,hot,20,6.48,10/18/2024,9151,Unhealthy
India,Hanoi,184.55,381.99,84.02,43.48,16.12,181.73,396,37.4,15,0.85,11/24/2023,4400,Moderate
France,Delhi,64.07,353.67,129.71,1.92,17.27,193.92,265,7.2,57,18.54,06-05-23,8422,Unhealthy
India,Hanoi,175.9,143.32,37.56,low,NaN,246.92,307,21.6,63,11.16,06-07-25,5180,Moderate
China,HCM,178.94,103.65,119.97,145.5,7.42,200.85,1,27.4,50,0.44,3/21/2024,5797,Good
Vietnam,Hanoi,257.34,331.34,107.49,78.65,NaN,93.07,465,hot,36,4.28,05-10-25,1831,Moderate
France,Paris,246.97,244.43,154.43,139.26,8.46,55.77,214,-4.5,77,19.42,10/30/2024,4273,Moderate
China,Delhi,high,104.95,error,98.97,2.22,121.42,217,23.4,68,9.1,11/17/2025,6807,Unhealthy
France,Beijing,213.12,115.97,180.76,21.72,0.86,48.94,464,-1,75,16.39,12-01-24,9046,Good
,Hanoi,16.26,33.77,172.07,109.05,6.67,170.35,234,30.7,wet,11.21,6/21/2023,5539,Moderate
India,HCM,51.04,243.93,137.68,59.63,9.98,171.04,100,6.9,64,7.26,03-05-24,1502,Good
India,Beijing,high,183.99,119.22,9.7,6.22,bad,429,27.5,15,2.79,12-04-23,4130,Moderate
,Paris,190.54,62.2,64.65,17.67,2.93,158.28,445,-1.4,26,fast,4/26/2025,6035,Good
USA,999,252.42,219.46,40.05,64.72,16.24,129.35,197,hot,12,fast,1/28/2023,1615,Unhealthy
USA,HCM,35.96,130.04,82.72,61.87,0.36,45.44,invalid,20,74,fast,6/23/2023,5323,Moderate
China,Delhi,138.68,unknown,147.76,109.41,13.25,bad,85,26.5,58,9.12,8/20/2025,7610,Moderate
France,Paris,225.87,254.31,12.65,64.62,11.16,16.49,375,-7.1,71,fast,10/20/2025,7324,123
France,Beijing,28.89,176.83,52.05,99.36,17.05,127.16,375,31.3,68,1.74,01-09-25,6747,Unhealthy
China,Delhi,20.53,161.53,10.97,low,4.58,35.5,invalid,-3.7,66,10.48,10-04-23,1429,Unhealthy
USA,Hanoi,195.66,389.75,error,132.42,0.57,40.23,327,hot,68,15.54,11-05-25,1701,Unhealthy
123,HCM,173.43,22.52,12.84,125.93,14.28,232.88,invalid,37.1,40,10.97,10-05-25,7828,Unhealthy
India,Beijing,128.44,200.05,179.54,27.85,13.97,bad,347,35.4,38,4.78,11/27/2024,2397,123
India,Hanoi,high,382.5,91.64,132.21,14.4,197.64,130,6,wet,6.97,9/13/2023,8798,Unhealthy
Vietnam,999,130.89,184.43,error,88.76,3.03,230.65,129,15.1,61,10.3,8/13/2023,ID_err,Moderate
India,Paris,281.72,358.12,44.35,low,9.8,137.88,224,43.6,wet,11.87,02-02-25,5854,Unhealthy
India,Delhi,254.38,76.15,46.2,59.01,4.39,221.47,422,16.3,wet,7.57,12/29/2025,2556,123
USA,Hanoi,high,266.24,error,20.32,17.62,bad,14,12.3,54,fast,05-11-23,6692,Good
China,HCM,137.38,92.31,88.1,115.32,14.56,65.48,302,28.1,1,12.18,3/28/2023,1480,Good
China,Paris,51.35,324.53,error,5.44,2.61,115.69,214,-4.3,79,17.19,11/26/2023,7353,Good
China,Hanoi,295.42,284.57,52.27,23.4,10.86,bad,93,38.2,32,8.03,2/17/2023,ID_err,123
Vietnam,,55.65,172.91,192.87,129.91,14.61,110.61,179,-8.2,34,19.61,4/25/2023,1029,Good
France,HCM,137.59,unknown,179.68,68.48,1.63,61.03,59,28.8,80,11.09,11/24/2024,7645,Good
Vietnam,Delhi,113.89,unknown,11.5,low,NaN,134.42,403,-5.9,55,6.41,9/22/2023,5044,Unhealthy
Vietnam,,116.86,304.95,185.58,43.3,NaN,176.43,462,12.3,9,11.47,12/22/2023,9258,Moderate
China,999,157.68,199.54,126.64,101.26,14.37,22.46,310,43.4,55,10.97,12/24/2024,5957,Good
India,Beijing,35.88,376.01,74.75,76.91,19.62,214.5,350,16,98,13.35,5/23/2025,2259,Unhealthy
USA,Beijing,105.44,204.78,138.79,119.41,10.05,bad,invalid,13.2,36,7.7,10-11-25,5087,Moderate
Vietnam,Delhi,97.5,47.49,56.31,113.81,NaN,19,466,28.6,11,2.87,02-11-25,4285,Good
China,999,78.86,160.25,58.11,110.8,17.11,92.61,55,hot,47,9.07,07-07-24,5481,123
France,HCM,196.63,261.5,184.18,45.1,NaN,237.21,494,-4,65,9.83,04-03-23,ID_err,123
India,,287.53,364.75,17.88,81.11,19.75,171.05,21,-5.7,8,4.74,11/27/2024,2250,Unhealthy
India,Beijing,138.46,249.59,60.93,97.69,16.83,192.55,471,hot,90,2.11,1/29/2024,3786,123
India,Paris,203.5,248.09,error,low,1.83,116.4,221,12.9,13,13.39,1/29/2025,3208,123
123,Beijing,191.08,unknown,20.4,101.72,3.99,58.02,194,32,51,18.98,5/18/2024,9336,Moderate
,Beijing,11.23,331.56,163.75,22.66,2.52,33.74,313,10,56,8.39,8/30/2024,3172,Moderate
India,Paris,250.12,334.6,163.94,36.4,5.95,236.67,407,6.9,95,4.55,4/27/2024,ID_err,Unhealthy
India,Paris,134.54,65.05,188.57,low,NaN,63.7,495,41.2,37,19.32,6/26/2025,1433,Unhealthy
123,Hanoi,108.97,76.53,44.85,126.75,8.27,124.47,396,21.6,88,17.21,04-06-24,4470,Good
France,HCM,57.62,261.19,142.28,130.77,11.1,57.87,203,-0.5,97,15.39,06-11-23,5309,Moderate
China,HCM,232.16,268.87,43.9,low,4.42,68.3,109,hot,83,5.66,3/20/2025,5903,123
France,,high,154,184.48,101.4,16.16,177.6,221,35.1,56,6.35,8/18/2025,2499,Good
,Paris,201.02,299.02,148.21,114.77,NaN,229.14,269,13.6,64,4.9,01-09-24,9831,Moderate
India,Beijing,27.31,274.1,173.02,7.66,10.14,93.85,277,39.5,87,14.73,10/16/2023,7944,Unhealthy
France,Paris,16.53,19.42,182.76,102.76,NaN,43.18,461,-3.2,99,1.74,11/20/2024,9036,Unhealthy
France,Paris,299.1,unknown,40.82,low,7.93,123.22,474,19.5,90,13.8,06-01-23,2343,Good
France,,85.66,287.16,31.08,low,8.04,249.29,56,11.1,84,fast,05-05-23,2257,Unhealthy
123,Hanoi,170.37,56.25,83.37,low,18.27,152.97,148,-4.6,22,3.53,10/19/2025,7503,Unhealthy
USA,Paris,22.78,108.22,96.93,12.16,NaN,67.87,234,38.1,81,11.8,09-10-25,4964,Moderate
Vietnam,999,158.28,63.39,13.44,22.58,17.91,149.44,352,29.4,46,12.34,5/30/2023,7527,Moderate
USA,HCM,242.08,23.32,161.95,142.1,2.52,121.65,179,27.5,96,6.85,12/19/2025,2943,Good
India,Delhi,high,165.18,56.6,40.08,8.68,45.68,490,6.6,62,15.38,02-02-23,4933,Moderate
China,999,high,unknown,87.86,56.16,7.9,223.43,176,9.1,49,11.82,9/23/2024,1079,Good
China,Beijing,278.16,43.05,68.13,low,7.67,121.83,410,2.2,6,5.24,4/14/2024,3919,Moderate
China,,263.54,297.79,161.87,137.03,11.56,46.08,380,3.8,58,3.78,5/17/2025,2766,Unhealthy
France,Delhi,98.3,106.7,131.96,60.66,4.7,126.1,33,41.8,57,6.89,7/29/2024,ID_err,123
USA,Delhi,192.67,289.98,110.81,103.81,2.53,51.56,492,30.6,wet,14.7,2/14/2025,ID_err,Unhealthy
China,Hanoi,36.98,164.63,137.89,92.81,NaN,23.35,68,41.7,63,19.91,10-05-25,2423,123
India,Hanoi,165.84,276.45,128.24,35.75,12.5,52.5,44,hot,24,7.37,9/14/2023,5982,Moderate
China,Beijing,97.06,98.65,93.41,88.45,10.87,218.94,447,2.9,11,1.08,7/31/2025,5429,Good
USA,HCM,243.86,326.48,error,120.61,1.47,105.29,6,-0.1,88,5.2,06-03-25,9925,Unhealthy
India,Delhi,high,238.29,195.76,111.64,10.58,28.31,456,27.8,57,fast,11/14/2025,8096,Unhealthy
,Delhi,56.54,43.42,129.53,61.19,NaN,bad,invalid,38.8,86,11.51,10-04-24,6573,123
France,999,183.57,194.26,187.02,115.22,4.51,49.47,313,hot,28,12.61,1/20/2024,5746,Moderate
France,999,150.94,224.97,68.87,68.81,17.15,236.51,118,16,41,16.8,5/20/2024,ID_err,123
Vietnam,Delhi,high,58.35,109.71,148.68,9.84,142.9,247,40.7,47,8.34,11-05-24,1818,Moderate
France,Hanoi,245.9,199.35,error,6.61,2.91,166.09,354,37.4,36,fast,4/29/2023,8133,Good
Vietnam,Beijing,64.08,213.63,94.27,123.95,9.29,93.61,115,hot,24,16.34,6/26/2023,7721,Good
Vietnam,999,high,160.29,71.37,99.66,11.27,38.87,61,12.6,35,3.28,12/16/2023,1204,Unhealthy
China,Paris,20.28,379.96,156,107.21,8.33,201.97,426,hot,57,14.47,10/21/2025,6402,Moderate
123,Hanoi,81.68,89.5,128,32.3,1.98,53.75,invalid,-1.5,12,7.9,4/27/2023,9226,Moderate
Vietnam,Hanoi,250.55,unknown,142.94,low,9.83,207.33,487,16.2,19,5.65,09-03-23,4175,Good
Vietnam,Delhi,199.45,395.3,68.57,low,1.41,56.16,256,40.1,wet,12.27,10-07-25,4098,Unhealthy
China,Paris,83.25,270.59,90.69,145.01,6.65,29.96,152,0,51,17.94,1/13/2023,2082,Unhealthy
,HCM,75.35,52.61,106.88,low,17.78,11.64,107,40.7,31,9.88,04-05-24,4541,Unhealthy
USA,Paris,268.54,223.75,14.8,50.2,15.47,214.54,45,39,58,12.88,5/16/2024,6231,Unhealthy
India,Beijing,194.25,249.46,179.05,142.84,NaN,231.22,122,13.4,95,15.81,3/20/2024,7693,Unhealthy
France,999,81.32,243.45,146.18,29.77,12.54,154.42,495,10.6,18,19,1/21/2025,1229,Moderate
USA,Paris,91.35,154.79,57.55,17.55,2.38,152.35,122,42.2,64,6.65,12/18/2025,7494,Unhealthy
France,999,225.97,33.72,36.94,56.45,8.9,228.49,376,43.3,31,10.14,6/23/2024,1330,Good
France,999,159,377.22,143.78,117.15,7.41,85.09,invalid,4.1,97,9.92,03-09-23,1546,Moderate
USA,Hanoi,78.14,88.05,error,129.74,0.75,41.37,359,19.8,65,7.14,01-10-23,6531,Good
India,Paris,295.87,281.77,188.88,93.75,7.82,109.52,38,14.3,wet,18.64,4/30/2023,7130,Moderate
Vietnam,999,81.7,37.41,102.59,79.58,NaN,bad,131,5.1,35,5.76,02-12-25,7910,Moderate
India,Beijing,49.12,185.84,180.5,114.55,15.72,57.23,17,0.3,32,6.55,11-04-23,3470,Unhealthy
China,HCM,60.12,320.11,150.63,low,1.51,49.08,41,hot,22,18.67,03-11-25,1031,123
France,999,99.88,43.93,196.6,91.67,1.94,130.78,113,-7.9,16,7.8,1/16/2024,6138,Unhealthy
China,Beijing,273.87,379.58,140.6,57.86,8.79,156.94,94,-1.1,74,2.31,10-07-25,9931,Good
China,Delhi,63.18,111.72,70.8,low,8.85,108.47,422,-3.5,55,14.47,12/24/2025,3405,Moderate
France,Hanoi,high,357.12,155.92,138.12,NaN,78.41,52,-1.8,wet,1.39,07-09-23,1698,Good
USA,Delhi,143.18,305.86,104.25,53.26,19.7,229.22,465,0.6,8,18.25,10-12-24,1447,Moderate
Vietnam,Paris,113.75,93.42,146.04,12.85,7.2,bad,428,22.1,55,fast,10-08-23,3945,Unhealthy
USA,Beijing,190.07,94.33,103.74,108.35,14.42,37.68,37,39.6,90,19.22,6/17/2024,2894,Good
India,Hanoi,48.74,135.05,13.17,92.35,13.53,54.39,261,13,83,3.06,5/27/2025,7875,Unhealthy
China,Paris,85.14,136.05,error,52.43,2.49,25.04,180,9.4,wet,6.23,04-12-25,2257,Moderate
India,HCM,17.49,295.98,22.89,141.95,10.3,119.8,486,31.8,31,6,12-02-23,7723,Good
India,Paris,95.71,339.86,6.8,38.06,16.95,71.24,484,4.3,wet,1.74,10-05-25,8530,Moderate
USA,Beijing,291.7,26.58,error,29,13.36,49.44,86,13.5,22,10.81,02-05-25,4105,Moderate
Vietnam,HCM,30.7,186.38,47.83,138.25,12.19,189.79,201,10.4,20,14.64,1/17/2023,5224,Unhealthy
China,HCM,35.69,294.31,125.22,22.44,12.03,88.84,401,34.9,34,fast,2/28/2023,8030,Moderate
India,Beijing,high,325.3,129.91,low,5.23,48.24,349,hot,66,17.23,10/30/2025,2759,Moderate
USA,Beijing,102.29,364.31,174.72,23.15,13.09,155.5,188,-4.6,92,5.13,9/14/2024,3871,123
USA,Beijing,298.43,162.52,48.73,25.32,16.56,208.57,184,28.6,85,19.15,08-01-24,ID_err,Unhealthy
Vietnam,HCM,293.66,271.4,115.25,114.12,NaN,80.16,468,22.3,30,19.97,4/22/2025,6387,Unhealthy
France,Delhi,155.27,189.55,187.77,low,8.65,93.66,304,21.9,34,8.48,03-01-23,7022,Good
France,Beijing,125.61,unknown,46.51,69.66,15.59,136.29,496,30.3,78,13.98,07-05-23,2038,Good
France,Hanoi,206.71,unknown,76.38,45.05,9.27,193.27,408,6.8,37,18.48,3/13/2023,7695,Moderate
Vietnam,Hanoi,237.16,104.94,75.96,21.65,6.25,193.62,154,6.9,58,19.34,07-05-24,5938,123
France,Delhi,14.36,316.94,184,83.23,18.11,205.74,97,30.9,42,5.7,5/28/2024,2890,Unhealthy
France,HCM,198.41,230.36,124.95,70.09,13.76,bad,204,20.8,58,4.02,02-02-23,5500,Moderate
,Hanoi,19.24,79.89,12,4.96,10.01,193.22,28,16.5,30,19.09,9/25/2023,7116,Good
France,HCM,21.78,385.94,7.62,117.9,4.7,173.28,383,12.7,36,18.3,11/22/2025,7999,Moderate
USA,999,179.05,62.28,128.26,21.71,7.22,102.46,110,34.3,54,fast,7/26/2023,9244,Unhealthy
Vietnam,Hanoi,156.01,59.19,98.62,low,7.89,225.47,33,11.2,96,5.18,12/19/2024,6174,Good
USA,HCM,270.59,396.49,81.65,85.24,13.58,95.08,299,38.7,87,18.21,2/26/2025,ID_err,Unhealthy
,HCM,241.09,unknown,151.87,132.1,3.35,246.54,306,40.8,25,17.56,06-10-25,2474,Moderate
Vietnam,Delhi,61.74,277.07,17.07,125.41,12.02,38.65,invalid,-0.6,80,fast,07-02-24,1895,Moderate
USA,,55.64,183.53,46.43,89.76,5.5,185.61,263,36.2,82,15.93,2/24/2023,7926,Unhealthy
China,Delhi,79.69,56.04,24.23,58.71,16.14,14.27,75,4.7,53,fast,3/24/2024,4465,Unhealthy
China,Hanoi,153.23,213.53,76.21,70.67,8.64,205.2,invalid,39,32,13.17,12-04-25,ID_err,Unhealthy
USA,Beijing,140.93,293.4,66.46,138.82,1.92,135.33,103,hot,48,8.61,09-07-25,3384,Moderate
USA,Beijing,177.74,193.79,59.88,3.54,2.57,165.3,212,8.3,3,fast,9/21/2024,1093,Good
123,Delhi,high,287.97,73.72,126.35,2.02,121.52,19,3.7,66,19.37,03-09-23,4688,123
USA,HCM,82.37,348.18,145.93,64.19,18.85,bad,invalid,15.7,72,10.61,1/13/2024,6277,Unhealthy
France,Hanoi,60.76,302.61,11.79,62.25,4.15,220.24,293,9.4,43,12.48,12-12-24,1190,Good
France,Delhi,58.11,195.48,151.2,78.91,8.75,104.47,44,-2.5,69,12.15,6/16/2024,3514,Unhealthy
China,Paris,49.81,144.49,49.74,50.82,4.32,142.89,190,7.1,19,fast,09-05-25,1421,Good
Vietnam,Hanoi,high,366.31,64.71,low,15.25,232.75,218,33.4,79,3.98,5/24/2023,8293,Moderate
